IndianRed	CD 5C 5C
LightCoral	F0 80 80
Salmon	FA 80 72
DarkSalmon	E9 96 7A
LightSalmon	FF A0 7A
Red	FF 00 00
Crimson	DC 14 3C
FireBrick	B2 22 22
DarkRed	8B 00 00
Pink	FF C0 CB
LightPink	FF B6 C1
HotPink	FF 69 B4
DeepPink	FF 14 93
MediumVioletRed	C7 15 85
PaleVioletRed	DB 70 93
LightSalmon	FF A0 7A
Coral	FF 7F 50
Tomato	FF 63 47
OrangeRed	FF 45 00
DarkOrange	FF 8C 00
Orange	FF A5 00
Gold	FF D7 00
Yellow	FF FF 00
LightYellow	FF FF E0
LemonChiffon	FF FA CD
LightGoldenrodYellow	FA FA D2
PapayaWhip	FF EF D5
Moccasin	FF E4 B5
PeachPuff	FF DA B9
PaleGoldenrod	EE E8 AA
Khaki	F0 E6 8C
DarkKhaki	BD B7 6B
Lavender	E6 E6 FA
Thistle	D8 BF D8
Plum	DD A0 DD
Violet	EE 82 EE
Orchid	DA 70 D6
Fuchsia	FF 00 FF
Magenta	FF 00 FF
MediumOrchid	BA 55 D3
MediumPurple	93 70 DB
BlueViolet	8A 2B E2
DarkViolet	94 00 D3
DarkOrchid	99 32 CC
DarkMagenta	8B 00 8B
Purple	80 00 80
Indigo	4B 00 82
DarkSlateBlue	48 3D 8B
SlateBlue	6A 5A CD
MediumSlateBlue	7B 68 EE
GreenYellow	AD FF 2F
Chartreuse	7F FF 00
LawnGreen	7C FC 00
Lime	00 FF 00
LimeGreen	32 CD 32
PaleGreen	98 FB 98
LightGreen	90 EE 90
MediumSpringGreen	00 FA 9A
SpringGreen	00 FF 7F
MediumSeaGreen	3C B3 71
SeaGreen	2E 8B 57
ForestGreen	22 8B 22
Green	00 80 00
DarkGreen	00 64 00
YellowGreen	9A CD 32
OliveDrab	6B 8E 23
Olive	80 80 00
DarkOliveGreen	55 6B 2F
MediumAquamarine	66 CD AA
DarkSeaGreen	8F BC 8F
LightSeaGreen	20 B2 AA
DarkCyan	00 8B 8B
Teal	00 80 80
Aqua	00 FF FF
Cyan	00 FF FF
LightCyan	E0 FF FF
PaleTurquoise	AF EE EE
Aquamarine	7F FF D4
Turquoise	40 E0 D0
MediumTurquoise	48 D1 CC
DarkTurquoise	00 CE D1
CadetBlue	5F 9E A0
SteelBlue	46 82 B4
LightSteelBlue	B0 C4 DE
PowderBlue	B0 E0 E6
LightBlue	AD D8 E6
SkyBlue	87 CE EB
LightSkyBlue	87 CE FA
DeepSkyBlue	00 BF FF
DodgerBlue	1E 90 FF
CornflowerBlue	64 95 ED
RoyalBlue	41 69 E1
Blue	00 00 FF
MediumBlue	00 00 CD
DarkBlue	00 00 8B
Navy	00 00 80
MidnightBlue	19 19 70
Cornsilk	FF F8 DC
BlanchedAlmond	FF EB CD
Bisque	FF E4 C4
NavajoWhite	FF DE AD
Wheat	F5 DE B3
BurlyWood	DE B8 87
Tan	D2 B4 8C
RosyBrown	BC 8F 8F
SandyBrown	F4 A4 60
Goldenrod	DA A5 20
DarkGoldenrod	B8 86 0B
Peru	CD 85 3F
Chocolate	D2 69 1E
SaddleBrown	8B 45 13
Sienna	A0 52 2D
Brown	A5 2A 2A
Maroon	80 00 00
Gainsboro	DC DC DC
LightGrey	D3 D3 D3
Silver	C0 C0 C0
DarkGray	A9 A9 A9
Gray	80 80 80
